"","ORF","Long_description","haploids_SR7575_exp1","haploids_SR7575_exp2","avghaplo","rank1","rank2","Gene","SGTC_352","SGTC_513","SGTC_1789","CDC48_YDL126C_tsq209","CDC48_YDL126C_tsq208","RPN4_YDL020C","INO2_YDR123C","SRP101_YDR292C_damp","HAC1_YFL031W","OPI3_YJR073C","PGA3_YML125C_damp","UBC7_YMR022W","YNL181W_YNL181W_damp","4166_8_HOP_0148"
"23","YAL030W","YAL030W SNC1 DEL Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",0.0578772105055568,0.0644599653675741,0.0611685879365655,2681,2857,"SNC1",0.952800692864538,-0.862483352498086,-2.76089027250732,NA,0.037726,0.044937,-0.003473,0.001004,-0.002831,0.003532,0.005433,0.013929,-0.037843,0.0349494215083505
"24","YAL031C","YAL031C GIP4 DEL Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate",0.0148945257726787,-0.0876392470453157,-0.0363723606363185,2337,1408,"GIP4",0.11232269133677,-0.94924499135212,-0.378908453340514,NA,0.007797,-0.026336,-0.025985,0.037963,-0.035157,-0.014232,-0.009812,-0.02915,0.007097,-0.211238060839497
"25","YAL032C","YAL032C PRP45 DAMP Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene",-0.0982769627052316,0.186631023507292,0.0441770304010302,1423,3779,"PRP45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","YAL034C","YAL034C FUN19 DEL Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",-0.065628195911772,0.0805500290992951,0.00746091659376154,1692,2991,"FUN19",NA,NA,NA,NA,-0.017203,0.0239,0.006148,8.5e-05,0.009034,0.028227,0.052117,-0.060991,0.000202,0.36979784183479
"27","YAL034C-B","YAL034C-B  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",0.843635256749547,0.757337660741406,0.800486458745477,4818,4830,"YAL034C-B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","YAL034W-A","YAL034W-A MTW1 DAMP Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)",0.728904481902628,0.149995444405856,0.439449963154242,4779,3543,"MTW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","YAL036C","YAL036C RBG1 DEL Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",0.0288839864708067,0.321423077433756,0.175153531952281,2450,4330,"RBG1",-0.356674754490562,0.0202064250817495,-0.382205003207811,NA,-0.066768,0.025062,0.018047,0.010178,0.017038,0.045269,-0.009706,0.001288,0.012921,0.0173686902597229
"30","YAL037W","YAL037W  DEL Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",0.0568249806304234,0.136487606595194,0.0966562936128087,2674,3445,"YAL037W",-0.152027895514276,-0.781090743899064,-0.461636791482714,NA,-0.003919,0.004482,0.026234,-0.038908,-0.027486,0.018882,0.010754,0.029169,-0.019404,0.00248667019177923
"31","YAL038W","YAL038W CDC19 DAMP Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",0.0397912273610599,0.443166554627143,0.241478890994101,2525,4604,"CDC19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","YAL040C","YAL040C CLN3 DEL G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.",-0.0930461903911851,-0.0649223097455135,-0.0789842500683493,1457,1584,"CLN3",2.12262142525427,0.987808396718413,-1.19675221108962,NA,0.003119,0.048248,0.069451,-0.00629,-0.044034,0.033653,-0.003928,0.031026,0.041622,-2.91908122300994
"33","YAL041W","YAL041W CDC24 DAMP Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress",0.148131912249402,-0.181288528284401,-0.0165783080174995,3420,832,"CDC24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","YAL042C-A","YAL042C-A  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene",0.764902861572004,0.885206262404293,0.825054561988149,4796,4858,"YAL042C-A",-0.203656046652791,-0.00173980723246837,0.460118786281491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","YAL042W","YAL042W ERV46 DEL Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport",0.0821521747732995,0.228615851525905,0.155384013149602,2893,3991,"ERV46",-0.665904276403072,2.06010446310486,-0.969218494045587,NA,-0.030326,0.004912,-0.069042,-0.005491,0.030989,0.009258,-0.019397,0.012487,-0.02045,2.7415489341584
"36","YAL044C","YAL044C GCV3 DEL H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",0.526871377137324,0.164694557070228,0.345782967103776,4623,3642,"GCV3",-0.867262038572263,-0.772562719697042,-1.04966506082411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.421825780337537
"37","YAL045C","YAL045C  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A",0.0638763628292013,-0.210243075439369,-0.0731833563050839,2728,722,"YAL045C",-0.00437763185558326,-0.360519355643796,0.689558063943501,NA,-0.001464,0.015866,-0.001592,-0.047586,-0.022372,0.001003,0.001442,0.010767,-0.004842,0.0357307921644181
"38","YAL046C","YAL046C AIM1 DEL Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss",-0.211232546566034,-0.120410381066734,-0.165821463816384,810,1184,"AIM1",-0.0199014768707777,-0.18286268137861,0.835246129794542,0.005489,0.015963,0.035477,-0.015068,-0.042775,-0.03032,NA,-0.029013,-0.030072,-0.016587,-0.0798613634124763
"39","YAL051W","YAL051W OAF1 DEL Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",-0.0981243749319178,-0.142915861437562,-0.12052011818474,1425,1037,"OAF1",-1.77774440235757,-0.540392492577944,-0.0692949676056197,NA,-0.004167,0.033386,0.024869,0.019247,0.031466,0.009304,-0.005167,-0.008244,0.014753,-0.0122610026578749
"40","YAL053W","YAL053W FLC2 DEL Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",0.206240018956436,0.123545433195165,0.164892726075801,3776,3347,"FLC2",1.21207797050356,0.567224470573409,0.412343627901388,NA,0.007405,0.018685,-0.003648,-0.022951,0.087712,-0.04728,-0.045281,0.016224,0.031617,-0.0062328782971564
"41","YAL054C","YAL054C ACS1 DEL Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",0.0746316984553109,-0.0401692329544255,0.0172312327504427,2821,1812,"ACS1",-0.15952282166445,0.543449858350569,1.03848430994221,NA,0.008081,0.037447,-0.012303,0.09168,-0.004307,0.055021,0.03445,-0.04029,0.015967,-0.146631810692358
"42","YAL055W","YAL055W PEX22 DEL Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation",-0.175102253638635,0.0671381961648627,-0.0539820287368861,965,2879,"PEX22",-1.2226731703804,0.736065080653136,0.160437060766984,NA,0.031766,-0.00191,0.041624,0.00734,0.032261,-0.054939,-0.016693,-0.00904,-0.159282,-0.562417685763804
"43","YAL056C-A","YAL056C-A  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",0.577400483073557,0.344868939338771,0.461134711206164,4675,4385,"YAL056C-A",1.3470572208701,-2.89290949067066,-0.275438542659534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","YAL058W","YAL058W CNE1 DEL Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",0.449466380182371,0.246678066740503,0.348072223461437,4523,4070,"CNE1",0.771815592161716,-0.221759235472795,-1.50843254257572,NA,0.001466,-0.009838,0.041495,0.009196,-0.045935,0.062346,-0.022366,0.034382,0.048211,0.283628487274623
"45","YAL060W","YAL060W BDH1 DEL NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",0.158114103464014,-0.0511560691309827,0.0534790171665157,3495,1702,"BDH1",0.0882737410876664,-0.309803988037934,1.80623851253451,NA,-0.025581,-0.062177,0.001934,-0.042807,0.044613,-0.057526,-0.036207,0.011141,0.035547,-0.109947920380245
"46","YAL061W","YAL061W BDH2 DEL Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3",0.0941757669247468,-0.0101551311440085,0.0420103178903692,2996,2101,"BDH2",-0.815798290746887,-1.28337579856258,1.18555924816246,NA,-0.012425,-0.004744,-0.016181,-0.005727,0.040013,0.061705,0.036385,0.016754,0.028346,-0.947123803775308
"47","YAL062W","YAL062W GDH3 DEL NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication",0.0225661649639036,-0.0508010186316386,-0.0141174268338675,2390,1705,"GDH3",0.0105893339747206,-0.444728598968642,0.964257014759603,NA,-0.021593,0.002805,0.006192,-0.047461,0.019006,0.012608,0.013484,0.06967,0.008446,-0.000310434847620456
"48","YAL064C-A","YAL064C-A TDA8 DEL Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene",-0.0184802724544908,-0.0976290918962136,-0.0580546821753522,2063,1334,"TDA8",-0.394564411293762,1.05204238175773,0.33943400064095,NA,0.024099,-0.010178,0.004732,-0.00314,0.005071,0.031127,0.017417,-0.026521,-0.016134,0.858552556408358
"49","YAL065C","YAL065C  DEL Putative protein of unknown function; has homology to FLO1; possible pseudogene",-0.0268466272262062,0.073394347033448,0.0232738599036209,2000,2939,"YAL065C",-0.29534830113029,-0.605817373441781,0.786553083277703,NA,-0.037252,-0.045857,0.021582,0.011744,-0.002638,-0.043202,-0.063664,0.012328,-6.1e-05,0.68109782515825
"50","YAL066W","YAL066W  DEL Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",0.282088777131059,0.105579889726518,0.193834333428789,4109,3210,"YAL066W",-0.61978882394498,-0.49416713718013,-0.758751172078298,NA,-0.023024,0.01186,-0.016786,0.035934,0.028955,-0.034226,-0.01633,-0.009093,-0.021685,-0.0442276331608654
"51","YAL067C","YAL067C SEO1 DEL Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide",0.0563229043743953,0.0345509677660865,0.0454369360702409,2669,2565,"SEO1",0.498905191440612,-0.380628767511522,-0.760325714997269,NA,0.022293,-0.006467,-0.004748,-0.00333,0.041904,0.040382,0.018788,-0.000881,0.016986,1.26011577477182
"52","YAL068C","YAL068C PAU8 DEL Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions",-0.212184207085364,-0.471705373454522,-0.341944790269943,804,292,"PAU8",0.484072775502946,0.585926662803773,0.753333717373067,NA,0.010744,0.013035,-0.026712,0.01009,0.009778,-0.005214,0.027917,0.023515,-0.010233,0.0566937220380216
"53","YAR002C-A","YAR002C-A ERP1 DEL Member of the p24 family involved in ER to Golgi transport; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication",0.380931920217857,0.176615419776879,0.278773669997368,4364,3719,"ERP1",0.861437665096002,0.260787607240387,-0.29250289135391,NA,-0.031703,0.015662,0.032046,0.015597,-0.05853,0.028752,0.008175,-0.028383,-0.00805,-0.105008257124244
"54","YAR003W","YAR003W SWD1 DEL Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",0.199807868760964,0.212130085894539,0.205968977327751,3741,3924,"SWD1",0.323002259728156,-0.469868594342292,-1.0530221366636,NA,-0.029978,-0.051143,0.017817,0.0346,-0.053875,-0.10575,-0.039342,0.006639,-0.001152,0.00680414739049745
"55","YAR007C","YAR007C RFA1 DAMP Subunit of heterotrimeric Replication Protein A (RPA); which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia",-0.219967078000422,-0.206135589006703,-0.213051333503563,782,732,"RFA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","YAR008W","YAR008W SEN34 DAMP Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",0.220915029097272,0.380706755730964,0.300810892414118,3854,4471,"SEN34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","YAR015W","YAR015W ADE1 DEL N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress",-0.242207842261401,0.0188429218438127,-0.111682460208794,726,2396,"ADE1",-0.41706725730959,-1.16391485823385,-0.205589258036023,NA,0.039886,-0.005036,-0.038074,-0.026111,0.005365,-0.008303,-0.002153,0.050809,-0.030031,NA
"58","YAR020C","YAR020C PAU7 DEL Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",0.280177370475001,-0.0638103949961736,0.108183487739414,4103,1595,"PAU7",-0.22688489746082,-0.538846752320394,-1.35614267172137,NA,-0.005292,0.004756,-0.021314,0.039636,0.035323,0.013446,0.030867,0.011941,-0.017455,-0.00525926128403524
"59","YAR023C","YAR023C  DEL Putative integral membrane protein; member of DUP240 gene family",-0.0189601715207803,0.0419513274075238,0.0114955779433718,2057,2633,"YAR023C",-0.732062195845405,0.491732509176628,-0.8011782784295,NA,0.03753,-0.00897,0.00076,0.023348,0.028895,0.034018,0.00665,-0.039853,-0.014224,0.00710321266091772
"60","YAR027W","YAR027W UIP3 DEL Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family",0.185882649352606,0.0676804556933744,0.12678155252299,3664,2885,"UIP3",-0.326727416252668,-0.574879001727983,0.793414602109131,NA,0.007722,-0.021316,0.04232,-0.00411,0.003189,-0.029289,-0.01023,-0.029403,0.032,-0.049791377892598
"61","YAR028W","YAR028W  DEL Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS",0.0241033223853778,-0.0950815406816197,-0.035489109148121,2405,1347,"YAR028W",-0.0782714547100107,-1.39906963204645,-1.59974955824067,NA,-0.048189,0.002685,0.001311,-0.02253,-0.029832,-0.00495,0.014456,0.004256,0.024968,-0.0426089520571074
